;;;;;;;;;;;;;;Performance;;;;;;;;;
Rk;Season;Team;Comp;W;MP;W;D;L;Pts;Pts/MP;LgRank;Min;Subs;GF;GA;GD;Poss;CS;CS%;G-PK;PK;PKatt;PKm
76;2014-2015;Guingamp;fr Ligue 1;15;38;15;4;19;49;1.29;10th;3,42;107;41;55;-14;44.2;9;23.7;33;7;7;0
77;2023-2024;Lens;fr Ligue 1;14;34;14;9;11;51;1.50;7th;3,06;163;45;37;8;52.9;14;41.2;39;6;7;1
78;2021-2022;Lille;fr Ligue 1;14;38;14;13;11;55;1.45;10th;3,42;145;48;48;0;50.8;10;26.3;41;4;5;1
79;2020-2021;Montpellier;fr Ligue 1;14;38;14;12;12;54;1.42;8th;3,42;162;60;62;-2;45.7;5;13.2;58;2;5;3
80;2017-2018;Nantes;fr Ligue 1;14;38;14;10;14;52;1.37;9th;3,42;111;36;41;-5;43.7;12;31.6;32;4;5;1
81;2016-2017;Guingamp;fr Ligue 1;14;38;14;8;16;50;1.32;10th;3,42;107;46;53;-7;47.5;9;23.7;42;4;4;0
82;2016-2017;Nantes;fr Ligue 1;14;38;14;9;15;51;1.34;7th;3,42;113;40;54;-14;48.4;10;26.3;38;2;4;2
83;2015-2016;Montpellier;fr Ligue 1;14;38;14;7;17;49;1.29;12th;3,42;106;49;47;2;49.8;9;23.7;44;2;2;0
84;2015-2016;Bastia;fr Ligue 1;14;38;14;8;16;50;1.32;10th;3,42;98;36;42;-6;43.4;15;39.5;32;2;2;0
85;2023-2024;Marseille;fr Ligue 1;13;34;13;11;10;50;1.47;8th;3,06;137;52;41;11;53.7;7;20.6;46;4;4;0
86;2023-2024;Reims;fr Ligue 1;13;34;13;8;13;47;1.38;9th;3,06;155;42;47;-5;50.4;8;23.5;37;3;4;1
87;2022-2023;Toulouse;fr Ligue 1;13;38;13;9;16;48;1.26;13th;3,42;162;51;57;-6;51.3;9;23.7;46;4;4;0
88;2021-2022;Brest;fr Ligue 1;13;38;13;9;16;48;1.26;11th;3,42;146;49;57;-8;43.9;7;18.4;41;7;8;1
89;2020-2021;Bordeaux;fr Ligue 1;13;38;13;6;19;45;1.18;12th;3,42;169;42;56;-14;49.8;14;36.8;37;4;4;0
90;2018-2019;Reims;fr Ligue 1;13;38;13;16;9;55;1.45;8th;3,42;112;39;42;-3;43.6;14;36.8;37;2;2;0
91;2018-2019;Rennes;fr Ligue 1;13;38;13;13;12;52;1.37;10th;3,42;105;55;52;3;50.6;11;28.9;45;7;10;3
92;2018-2019;Nantes;fr Ligue 1;13;38;13;9;16;48;1.26;12th;3,42;112;48;48;0;50.1;8;21.1;40;6;8;2
93;2017-2018;Dijon;fr Ligue 1;13;38;13;9;16;48;1.26;11th;3,42;111;55;73;-18;48.4;5;13.2;47;5;5;0
94;2016-2017;Angers;fr Ligue 1;13;38;13;7;18;46;1.21;12th;3,42;112;40;49;-9;46.1;9;23.7;36;3;4;1
95;2016-2017;Lille;fr Ligue 1;13;38;13;7;18;46;1.21;11th;3,42;108;40;47;-7;51.1;11;28.9;34;6;7;1
96;2015-2016;Angers;fr Ligue 1;13;38;13;11;14;50;1.32;9th;3,42;110;40;38;2;42.5;17;44.7;36;4;5;1
97;2015-2016;Rennes;fr Ligue 1;13;38;13;13;12;52;1.37;8th;3,42;113;52;54;-2;50.4;6;15.8;45;3;7;4
98;2014-2015;Nice;fr Ligue 1;13;38;13;9;16;48;1.26;11th;3,42;108;44;53;-9;50.4;10;26.3;40;4;4;0
99;2014-2015;Rennes;fr Ligue 1;13;38;13;11;14;50;1.32;9th;3,42;110;35;42;-7;50.2;15;39.5;33;1;3;2
100;2023-2024;Rennes;fr Ligue 1;12;34;12;10;12;46;1.35;10th;3,06;160;53;46;7;52.1;7;20.6;43;10;11;1
101;2022-2023;Reims;fr Ligue 1;12;38;12;15;11;51;1.34;11th;3,42;162;45;45;0;48.7;14;36.8;38;7;8;1
102;2021-2022;Montpellier;fr Ligue 1;12;38;12;7;19;43;1.13;13th;3,42;162;49;61;-12;48.2;10;26.3;45;3;4;1
103;2020-2021;Angers;fr Ligue 1;12;38;12;8;18;44;1.16;13th;3,42;170;40;58;-18;46.4;9;23.7;35;5;6;1
104;2020-2021;Saint-Étienne;fr Ligue 1;12;38;12;10;16;46;1.21;11th;3,42;176;42;54;-12;48.3;12;31.6;34;6;9;3
